strain_id,A_MTX_5-FC.HNM1_RBD2,A_MTX_Fluconazole.HNM1_RBD2,A_MTX_Metformin.HNM1_RBD2,A_MTX_Trifluoperazine.HNM1_RBD2,A_MTX_noDrug.HNM1_RBD2,A_noMTX_5-FC.HNM1_RBD2,A_noMTX_Fluconazole.HNM1_RBD2,A_noMTX_Metformin.HNM1_RBD2,A_noMTX_Trifluoperazine.HNM1_RBD2,A_noMTX_noDrug.HNM1_RBD2,B_MTX_5-FC.HNM1_RBD2,B_MTX_Fluconazole.HNM1_RBD2,B_MTX_Metformin.HNM1_RBD2,B_MTX_Trifluoperazine.HNM1_RBD2,B_MTX_noDrug.HNM1_RBD2,B_noMTX_5-FC.HNM1_RBD2,B_noMTX_Fluconazole.HNM1_RBD2,B_noMTX_Metformin.HNM1_RBD2,B_noMTX_Trifluoperazine.HNM1_RBD2,B_noMTX_noDrug.HNM1_RBD2,T0_noMTX_noDrug.HNM1_RBD2
1005,0.0,1.0,0.0,0.0,0.0,2.0,7.0,8.0,7.0,1.0,2.0,1.0,0.0,1.0,0.0,12.0,6.0,10.0,10.0,4.0,0.0
1007,9.0,2.0,1.0,1.0,0.0,9.0,51.0,11.0,31.0,6.0,17.0,1.0,1.0,1.0,1.0,50.0,33.0,22.0,12.0,8.0,9.0
1013,3.0,1.0,0.0,4.0,1.0,3.0,1.0,5.0,13.0,1.0,3.0,0.0,0.0,1.0,0.0,7.0,2.0,21.0,4.0,5.0,0.0
1016,3.0,0.0,0.0,7.0,0.0,22.0,24.0,15.0,4.0,6.0,1.0,1.0,3.0,2.0,1.0,23.0,60.0,17.0,26.0,9.0,8.0
1018,1864.0,857.0,555.0,873.0,33.0,197.0,4.0,108.0,353.0,83.0,3447.0,31.0,919.0,416.0,47.0,1570.0,8.0,929.0,406.0,80.0,36.0
1020,411.0,5.0,1346.0,429.0,38.0,658.0,337.0,287.0,720.0,169.0,100.0,2.0,1899.0,412.0,74.0,1894.0,5.0,3944.0,424.0,72.0,73.0
1025,10.0,7.0,10.0,10.0,14.0,465.0,59.0,202.0,172.0,63.0,7.0,3.0,15.0,5.0,3.0,911.0,23.0,1289.0,118.0,55.0,40.0
1027,0.0,4.0,0.0,2.0,0.0,8.0,14.0,10.0,4.0,5.0,1.0,1.0,5.0,0.0,1.0,13.0,4.0,17.0,9.0,8.0,5.0
1035,14.0,8.0,3.0,38.0,3.0,2.0,3.0,7.0,8.0,1.0,22.0,5.0,13.0,23.0,3.0,12.0,2.0,25.0,2.0,1.0,2.0
1038,29.0,2.0,54.0,58.0,10.0,78.0,64.0,51.0,63.0,18.0,102.0,3.0,54.0,32.0,5.0,165.0,651.0,159.0,47.0,16.0,36.0
1040,16.0,9.0,28.0,16.0,5.0,4403.0,233.0,1508.0,3821.0,1132.0,115.0,4.0,32.0,8.0,0.0,23734.0,316.0,9443.0,3603.0,805.0,236.0
1046,1.0,0.0,1.0,4.0,0.0,3.0,3.0,6.0,3.0,7.0,1.0,1.0,2.0,2.0,0.0,10.0,6.0,7.0,11.0,1.0,11.0
1050,8.0,1.0,5.0,15.0,3.0,3.0,1.0,15.0,7.0,4.0,7.0,3.0,14.0,5.0,0.0,16.0,5.0,17.0,20.0,8.0,0.0
1065,2.0,12.0,1.0,9.0,1.0,0.0,1.0,3.0,0.0,1.0,3.0,7.0,5.0,2.0,0.0,1.0,0.0,12.0,2.0,2.0,0.0
1069,3763.0,2648.0,945.0,1536.0,95.0,631.0,376.0,406.0,358.0,139.0,5003.0,368.0,1650.0,1674.0,170.0,1397.0,231.0,4371.0,475.0,95.0,253.0
107,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,2.0,0.0,0.0
113,9.0,8.0,1.0,8.0,9.0,5.0,15.0,6.0,10.0,6.0,17.0,4.0,5.0,4.0,1.0,14.0,26.0,22.0,10.0,4.0,2.0
119,2.0,3.0,0.0,5.0,4.0,2.0,1.0,3.0,1.0,2.0,1.0,5.0,0.0,1.0,0.0,8.0,0.0,11.0,4.0,1.0,1.0
124,5.0,0.0,0.0,2.0,7.0,3.0,1.0,1.0,10.0,5.0,11.0,0.0,15.0,4.0,0.0,9.0,4.0,17.0,3.0,2.0,2.0
128,3.0,0.0,1.0,2.0,1.0,239.0,145.0,105.0,179.0,50.0,1.0,3.0,1.0,0.0,1.0,1250.0,283.0,1156.0,169.0,49.0,90.0
132,3.0,0.0,6.0,3.0,1.0,405.0,1282.0,218.0,462.0,82.0,2.0,16.0,10.0,2.0,0.0,1110.0,610.0,2170.0,238.0,89.0,79.0
133,1.0,0.0,0.0,1.0,0.0,4.0,3.0,3.0,1.0,2.0,5.0,0.0,1.0,0.0,0.0,8.0,2.0,9.0,5.0,3.0,0.0
136,0.0,1.0,0.0,3.0,0.0,1.0,0.0,4.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,10.0,5.0,3.0,1.0
14,155.0,35.0,203.0,687.0,14.0,138.0,5.0,198.0,167.0,76.0,20.0,11.0,305.0,861.0,39.0,325.0,1.0,997.0,174.0,52.0,62.0
146,386.0,39.0,1460.0,246.0,77.0,2417.0,595.0,1462.0,1719.0,605.0,379.0,58.0,2112.0,166.0,34.0,5790.0,1553.0,7811.0,2025.0,502.0,588.0
15,2.0,4.0,1.0,7.0,5.0,1.0,6.0,1.0,4.0,5.0,1.0,0.0,5.0,3.0,4.0,9.0,0.0,12.0,1.0,2.0,1.0
151,1.0,4.0,2.0,3.0,2.0,5.0,7.0,5.0,17.0,2.0,2.0,3.0,3.0,2.0,0.0,21.0,3.0,34.0,18.0,3.0,5.0
153,0.0,1.0,2.0,7.0,1.0,2.0,16.0,10.0,2.0,4.0,1.0,3.0,3.0,1.0,1.0,8.0,6.0,16.0,4.0,5.0,3.0
17,0.0,6.0,0.0,8.0,2.0,2.0,5.0,1.0,15.0,1.0,1.0,3.0,1.0,2.0,0.0,10.0,2.0,48.0,3.0,1.0,2.0
171,567.0,2.0,16.0,119.0,6.0,23.0,6.0,13.0,18.0,12.0,735.0,0.0,31.0,74.0,8.0,78.0,1.0,76.0,30.0,7.0,28.0
175,1.0,0.0,0.0,2.0,0.0,3.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,2.0,2.0,0.0
180,5.0,1.0,0.0,1.0,0.0,20.0,6.0,15.0,13.0,8.0,2.0,2.0,1.0,0.0,0.0,204.0,4.0,14.0,12.0,10.0,10.0
180_2,0.0,3.0,0.0,25.0,4.0,11.0,5.0,14.0,4.0,8.0,3.0,14.0,1.0,1.0,0.0,24.0,15.0,18.0,16.0,13.0,11.0
185,7.0,1.0,7.0,11.0,0.0,2.0,2.0,1.0,2.0,0.0,6.0,0.0,9.0,8.0,3.0,11.0,1.0,8.0,4.0,3.0,3.0
187,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,6.0,5.0,5.0,3.0
188,3.0,11.0,7.0,27.0,1.0,1701.0,9.0,785.0,1492.0,599.0,0.0,38.0,32.0,3.0,1.0,9815.0,134.0,5449.0,1591.0,392.0,126.0
192,12.0,33.0,1.0,9.0,15.0,6.0,9.0,6.0,11.0,4.0,3.0,108.0,5.0,4.0,5.0,14.0,5.0,26.0,9.0,5.0,4.0
20,0.0,4.0,0.0,1.0,0.0,2.0,1.0,3.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,1.0,1.0,0.0
209,1.0,3.0,0.0,2.0,0.0,3.0,3.0,1.0,7.0,4.0,0.0,1.0,0.0,0.0,0.0,6.0,4.0,7.0,6.0,4.0,8.0
210,2.0,0.0,1.0,6.0,0.0,2.0,2.0,3.0,3.0,3.0,1.0,0.0,3.0,1.0,1.0,8.0,2.0,12.0,5.0,1.0,0.0
226,4.0,16.0,1.0,4.0,2.0,1.0,0.0,2.0,2.0,2.0,12.0,19.0,9.0,0.0,1.0,6.0,0.0,5.0,7.0,4.0,9.0
235,0.0,0.0,2.0,3.0,0.0,1.0,3.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,14.0,3.0,1.0,2.0
240,0.0,0.0,0.0,8.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,2.0,1.0,0.0
248,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0,6.0,0.0,25.0,3.0,0.0,3.0
250,14.0,0.0,1.0,16.0,0.0,1.0,11.0,4.0,21.0,1.0,11.0,0.0,1.0,2.0,0.0,16.0,10.0,49.0,4.0,0.0,1.0
252,12.0,0.0,2.0,6.0,0.0,2.0,7.0,3.0,13.0,3.0,18.0,0.0,3.0,3.0,1.0,21.0,18.0,48.0,2.0,0.0,0.0
253,2.0,1.0,62.0,2572.0,0.0,145.0,6.0,48.0,73.0,20.0,5.0,0.0,3.0,414.0,1789.0,270.0,65.0,891.0,26.0,45.0,12.0
254,1.0,1.0,10.0,1.0,0.0,306.0,33.0,324.0,316.0,174.0,1.0,0.0,68.0,2.0,0.0,1787.0,251.0,950.0,777.0,120.0,61.0
257,2.0,3.0,0.0,2.0,0.0,2.0,5.0,9.0,13.0,4.0,4.0,0.0,0.0,0.0,1.0,19.0,2.0,49.0,4.0,1.0,16.0
258,117.0,0.0,153.0,31.0,1.0,866.0,244.0,325.0,522.0,156.0,182.0,1.0,191.0,28.0,1.0,4230.0,227.0,2160.0,415.0,103.0,129.0
27,2.0,0.0,3.0,6.0,6.0,1.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,3.0,1.0,4.0,2.0,24.0,3.0,1.0,1.0
270,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,8.0,1.0,0.0,0.0
271,1.0,1.0,1.0,2.0,0.0,3.0,4.0,6.0,6.0,4.0,1.0,5.0,0.0,0.0,0.0,9.0,7.0,8.0,9.0,4.0,8.0
272,16.0,0.0,0.0,86.0,1.0,8.0,8.0,16.0,24.0,17.0,22.0,0.0,3.0,5.0,1.0,207.0,9.0,110.0,36.0,4.0,6.0
277,2.0,0.0,0.0,7.0,1.0,2.0,5.0,0.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,7.0,4.0,13.0,1.0,0.0,2.0
286,1.0,1.0,2.0,4.0,3.0,2.0,0.0,2.0,5.0,3.0,3.0,0.0,5.0,4.0,1.0,5.0,1.0,8.0,3.0,1.0,0.0
289,3.0,2.0,0.0,2.0,1.0,331.0,25.0,189.0,245.0,105.0,0.0,0.0,1.0,0.0,0.0,1284.0,11.0,767.0,390.0,70.0,79.0
29,4.0,2.0,1.0,8.0,0.0,6.0,1.0,4.0,4.0,4.0,10.0,3.0,1.0,2.0,0.0,9.0,3.0,10.0,10.0,4.0,7.0
291,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,4.0,9.0,4.0,3.0,1.0
294,1.0,0.0,0.0,15.0,0.0,6.0,9.0,3.0,10.0,4.0,1.0,0.0,2.0,3.0,0.0,14.0,10.0,12.0,9.0,5.0,1.0
296,1.0,5.0,1.0,0.0,0.0,5.0,15.0,11.0,8.0,6.0,1.0,1.0,4.0,0.0,0.0,12.0,15.0,39.0,10.0,6.0,3.0
299,5.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,13.0,2.0,8.0,0.0,3.0,0.0,1.0,7.0,2.0,27.0,4.0,4.0,1.0
307,13.0,3.0,2.0,14.0,1.0,3.0,5.0,3.0,4.0,0.0,7.0,5.0,4.0,2.0,0.0,13.0,11.0,9.0,7.0,3.0,1.0
308,76.0,0.0,0.0,44.0,3.0,5.0,9.0,0.0,17.0,0.0,38.0,1.0,1.0,1.0,2.0,22.0,10.0,54.0,4.0,0.0,0.0
31,3.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,6.0,0.0,0.0,4.0,0.0,18.0,2.0,2.0,2.0
311,1.0,0.0,1.0,3.0,0.0,7.0,10.0,7.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,6.0,35.0,5.0,3.0,1.0
312,6.0,28.0,3.0,18.0,13.0,6.0,4.0,9.0,0.0,4.0,11.0,11.0,5.0,9.0,7.0,12.0,3.0,10.0,6.0,4.0,0.0
32,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,1.0,1.0
320,60.0,4.0,254.0,31.0,11.0,2057.0,30.0,1097.0,1578.0,897.0,86.0,0.0,430.0,31.0,1041.0,12489.0,139.0,6836.0,2246.0,613.0,171.0
323,0.0,0.0,0.0,46.0,0.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,10.0,0.0,1.0,0.0
325,0.0,3.0,1.0,2.0,0.0,9.0,9.0,11.0,2.0,3.0,0.0,0.0,4.0,0.0,0.0,7.0,3.0,10.0,4.0,10.0,2.0
33,0.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,0.0,1.0
335,3.0,1.0,8.0,29.0,0.0,5.0,6.0,11.0,5.0,5.0,77.0,1.0,6.0,1.0,0.0,5.0,2.0,9.0,7.0,3.0,5.0
336,7.0,1.0,1.0,3.0,0.0,1.0,6.0,2.0,4.0,1.0,5.0,1.0,8.0,2.0,1.0,8.0,0.0,15.0,3.0,1.0,3.0
337,0.0,6.0,11.0,3.0,1.0,404.0,35.0,356.0,334.0,218.0,1.0,6.0,7.0,0.0,0.0,1194.0,14.0,1332.0,277.0,197.0,57.0
339,5.0,3.0,2.0,4.0,1.0,6.0,0.0,12.0,3.0,4.0,5.0,6.0,14.0,2.0,1.0,4.0,8.0,15.0,5.0,3.0,4.0
347,9.0,0.0,1.0,1.0,0.0,5.0,4.0,3.0,5.0,0.0,3.0,0.0,1.0,1.0,0.0,9.0,4.0,15.0,1.0,2.0,1.0
348,16.0,1.0,0.0,94.0,4.0,1.0,13.0,3.0,10.0,0.0,19.0,2.0,2.0,7.0,0.0,7.0,13.0,9.0,5.0,1.0,5.0
350,3.0,3.0,1.0,12.0,2.0,4.0,4.0,2.0,8.0,0.0,6.0,1.0,5.0,2.0,1.0,7.0,0.0,23.0,7.0,1.0,9.0
354,1.0,1.0,1.0,1.0,0.0,1.0,2.0,7.0,6.0,3.0,1.0,0.0,3.0,0.0,0.0,10.0,2.0,13.0,5.0,1.0,0.0
358,4.0,2.0,1.0,3.0,0.0,0.0,13.0,1.0,6.0,3.0,5.0,0.0,2.0,3.0,2.0,2.0,1.0,15.0,4.0,1.0,2.0
359,5.0,1.0,1.0,4.0,1.0,0.0,18.0,2.0,2.0,3.0,1.0,1.0,0.0,2.0,0.0,9.0,4.0,10.0,2.0,2.0,0.0
36,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
364,0.0,2.0,0.0,12.0,0.0,1.0,7.0,2.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,13.0,6.0,6.0,2.0,2.0,1.0
375,16.0,5.0,3.0,10.0,4.0,6.0,4.0,8.0,9.0,3.0,13.0,1.0,12.0,4.0,6.0,14.0,4.0,23.0,6.0,4.0,2.0
383,14.0,6.0,6.0,6.0,3.0,1349.0,13.0,502.0,1090.0,456.0,16.0,2.0,2.0,2.0,0.0,7487.0,66.0,2147.0,908.0,270.0,42.0
385,33.0,5.0,1.0,36.0,1.0,3.0,17.0,2.0,18.0,3.0,22.0,6.0,3.0,4.0,1.0,15.0,11.0,27.0,3.0,0.0,0.0
392,4.0,14.0,0.0,2.0,2.0,3.0,11.0,3.0,13.0,2.0,1.0,5.0,0.0,0.0,1.0,14.0,4.0,24.0,12.0,3.0,9.0
397,0.0,3.0,1.0,1.0,1.0,2.0,1.0,4.0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,16.0,4.0,16.0,5.0,1.0,1.0
399,5.0,80.0,4.0,8.0,4.0,19.0,74.0,14.0,21.0,11.0,3.0,24.0,10.0,3.0,0.0,30.0,85.0,30.0,21.0,19.0,8.0
40,4.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,7.0,9.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0
400,48.0,0.0,35.0,46.0,39.0,62.0,384.0,36.0,58.0,25.0,39.0,0.0,116.0,49.0,29.0,391.0,1010.0,173.0,115.0,22.0,35.0
406,1.0,0.0,1.0,1.0,0.0,9.0,17.0,16.0,8.0,10.0,5.0,0.0,6.0,0.0,0.0,24.0,9.0,52.0,19.0,8.0,16.0
408,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,8.0,2.0,6.0,1.0
409,34766.0,20.0,1304.0,1419.0,42.0,2030.0,26106.0,596.0,2194.0,750.0,60305.0,10.0,1973.0,2465.0,127.0,13028.0,48665.0,2533.0,4020.0,486.0,219.0
40_2,2.0,0.0,1.0,43.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,6.0,2.0,7.0,0.0,1.0,3.0,7.0,1.0,0.0,1.0
412,1491.0,0.0,1346.0,250.0,0.0,615.0,1512.0,359.0,552.0,278.0,3194.0,113.0,1442.0,386.0,17.0,3670.0,755.0,1256.0,940.0,196.0,81.0
418,7.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,13.0,2.0,7.0,0.0,2.0,0.0,1.0,9.0,9.0,10.0,5.0,1.0,0.0
419,2.0,0.0,0.0,4.0,3.0,10.0,11.0,7.0,3.0,0.0,3.0,2.0,8.0,2.0,0.0,15.0,6.0,16.0,3.0,3.0,2.0
420,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,4.0,4.0,0.0,1.0,0.0,1.0,1.0,5.0,13.0,17.0,8.0,4.0,0.0
421,493.0,7.0,708.0,4569.0,4.0,547.0,1348.0,238.0,201.0,113.0,231.0,0.0,448.0,1470.0,30.0,1244.0,12.0,2546.0,371.0,153.0,31.0
426,3.0,5.0,3.0,69.0,2.0,5.0,7.0,4.0,6.0,4.0,4.0,0.0,7.0,2.0,0.0,22.0,1.0,23.0,7.0,6.0,2.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
431,0.0,0.0,1.0,5.0,0.0,5.0,5.0,4.0,5.0,7.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,8.0,8.0,4.0,2.0
433,9.0,1.0,3.0,16.0,1.0,60.0,34.0,48.0,70.0,15.0,6.0,0.0,11.0,4.0,5.0,361.0,3.0,330.0,59.0,12.0,65.0
434,5.0,0.0,1.0,9.0,6.0,9.0,2.0,8.0,6.0,6.0,4.0,1.0,21.0,2.0,1.0,7.0,2.0,15.0,9.0,12.0,0.0
437,88.0,1.0,17.0,162.0,6.0,12.0,16.0,6.0,53.0,3.0,57.0,4.0,25.0,25.0,11.0,32.0,20.0,63.0,11.0,4.0,6.0
438,6.0,0.0,3.0,6.0,0.0,330.0,1476.0,97.0,165.0,38.0,3.0,1.0,3.0,0.0,1.0,1512.0,1435.0,527.0,163.0,21.0,177.0
439,2.0,28.0,1.0,0.0,0.0,8.0,34.0,7.0,7.0,7.0,3.0,3.0,0.0,0.0,0.0,15.0,21.0,17.0,12.0,2.0,2.0
43_ref1,7.0,0.0,1.0,4.0,0.0,3.0,1275.0,7.0,41.0,4.0,5.0,0.0,0.0,2.0,0.0,22.0,2328.0,97.0,85.0,3.0,492.0
43_ref2,8.0,4.0,3.0,9.0,3.0,617.0,468.0,278.0,898.0,291.0,8.0,0.0,6.0,1.0,0.0,949.0,583.0,1757.0,869.0,276.0,688.0
442,11.0,6.0,5.0,38.0,6.0,9.0,8.0,4.0,27.0,1.0,14.0,0.0,9.0,13.0,4.0,21.0,4.0,63.0,10.0,7.0,1.0
444,0.0,1.0,0.0,3.0,1.0,2.0,0.0,2.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,5.0,1.0,10.0,1.0,0.0,0.0
446,0.0,0.0,1.0,20.0,0.0,4.0,5.0,7.0,7.0,6.0,0.0,2.0,1.0,0.0,0.0,13.0,3.0,8.0,6.0,6.0,1.0
45,1.0,0.0,3.0,5.0,1.0,11.0,7.0,9.0,23.0,0.0,2.0,3.0,4.0,1.0,0.0,16.0,7.0,59.0,10.0,7.0,1.0
450,1.0,6.0,0.0,9.0,0.0,5.0,5.0,6.0,1.0,5.0,0.0,1.0,2.0,0.0,0.0,8.0,2.0,8.0,5.0,2.0,3.0
452,0.0,2.0,0.0,12.0,3.0,0.0,1.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,6.0,6.0,2.0,5.0
458,2.0,1.0,0.0,1.0,0.0,4.0,4.0,13.0,11.0,13.0,3.0,0.0,0.0,1.0,0.0,23.0,4.0,21.0,17.0,7.0,7.0
459,1836.0,2.0,31.0,3.0,0.0,4.0,3.0,5.0,14.0,5.0,7600.0,4.0,5.0,423.0,1743.0,16.0,8.0,27.0,8.0,4.0,4.0
